batch_size,epochs,tag,precision
256,2,--padding--,0.9999877153540213
256,2,N,0.8464175422594035
256,2,V,0.9058411315833145
256,2,PREP,0.9180883605155055
256,2,CUR,0.3380394512866727
256,2,NUM,0.7487978012907232
256,2,PREP+ART,0.9461054163217183
256,2,NPROP,0.8237211092146924
256,2,PU,0.9991264822285814
256,2,PROADJ,0.9465195196289357
256,2,PRO-KS,0.8210494710945302
256,2,ADJ,0.6562987427142671
256,2,KC,0.9786811365728373
256,2,ART,0.9320882333233839
256,2,KS,0.5687089709781605
256,2,PCP,0.6367414717561194
256,2,ADV,0.8212875194778555
256,2,PROPESS,0.9458100156234108
256,2,PREP+PROADJ,0.4005206768799439
256,2,PDEN,0.7695375416613026
256,2,PROSUB,0.7462383971846271
256,2,PREP+PROPESS,0.0
256,2,ADV-KS,0.11695203764894363
256,2,PREP+PRO-KS,0.0
256,2,PREP+PROSUB,0.061413170454924726
256,2,IN,0.0
256,2,PREP+ADV,0.0
