batch_size,epochs,tag,accuracy
128,1,--padding--,0.9952769245180025
128,1,N,0.9952769245180025
128,1,V,0.9952769245180025
128,1,PREP,0.9952769245180025
128,1,CUR,0.9952769245180025
128,1,NUM,0.9952769245180025
128,1,PREP+ART,0.9952769245180025
128,1,NPROP,0.9952769245180025
128,1,PU,0.9952769245180025
128,1,PROADJ,0.9952769245180025
128,1,PRO-KS,0.9952769245180025
128,1,ADJ,0.9952769245180025
128,1,KC,0.9952769245180025
128,1,ART,0.9952769245180025
128,1,KS,0.9952769245180025
128,1,PCP,0.9952769245180025
128,1,ADV,0.9952769245180025
128,1,PROPESS,0.9952769245180025
128,1,PREP+PROADJ,0.9952769245180025
128,1,PDEN,0.9952769245180025
128,1,PROSUB,0.9952769245180025
128,1,PREP+PROPESS,0.9952769245180025
128,1,ADV-KS,0.9952769245180025
128,1,PREP+PRO-KS,0.9952769245180025
128,1,PREP+PROSUB,0.9952769245180025
128,1,IN,0.9952769245180025
128,1,PREP+ADV,0.9952769245180025
