batch_size,epochs,tag,precision
64,3,--padding--,1.0
64,3,N,0.9012983893921555
64,3,V,0.9780311576096723
64,3,PREP,0.9597963210627207
64,3,CUR,0.3732852708521077
64,3,NUM,0.8116404112812025
64,3,PREP+ART,0.978527653796695
64,3,NPROP,0.8741498075706091
64,3,PU,0.9996277749281626
64,3,PROADJ,0.9617510795277577
64,3,PRO-KS,0.8689617780860865
64,3,ADJ,0.8222190006320818
64,3,KC,0.9815034841054802
64,3,ART,0.969926597064809
64,3,KS,0.8532324549207795
64,3,PCP,0.9353618543807205
64,3,ADV,0.9053857192247702
64,3,PROPESS,0.9702903041287652
64,3,PREP+PROADJ,0.5815560228296786
64,3,PDEN,0.807373048166079
64,3,PROSUB,0.8350800007153272
64,3,PREP+PROPESS,0.26594572944828276
64,3,ADV-KS,0.3164113347351557
64,3,PREP+PRO-KS,0.13297286472414138
64,3,PREP+PROSUB,0.29691932846033176
64,3,IN,0.07796802509929575
64,3,PREP+ADV,0.06888955642335036
