batch_size,epochs,tag,accuracy
64,2,--padding--,0.995187695617206
64,2,N,0.995187695617206
64,2,V,0.995187695617206
64,2,PREP,0.995187695617206
64,2,CUR,0.995187695617206
64,2,NUM,0.995187695617206
64,2,PREP+ART,0.995187695617206
64,2,NPROP,0.995187695617206
64,2,PU,0.995187695617206
64,2,PROADJ,0.995187695617206
64,2,PRO-KS,0.995187695617206
64,2,ADJ,0.995187695617206
64,2,KC,0.995187695617206
64,2,ART,0.995187695617206
64,2,KS,0.995187695617206
64,2,PCP,0.995187695617206
64,2,ADV,0.995187695617206
64,2,PROPESS,0.995187695617206
64,2,PREP+PROADJ,0.995187695617206
64,2,PDEN,0.995187695617206
64,2,PROSUB,0.995187695617206
64,2,PREP+PROPESS,0.995187695617206
64,2,ADV-KS,0.995187695617206
64,2,PREP+PRO-KS,0.995187695617206
64,2,PREP+PROSUB,0.995187695617206
64,2,IN,0.995187695617206
64,2,PREP+ADV,0.995187695617206
