batch_size,epochs,tag,precision
128,5,--padding--,1.0
128,5,N,0.8911849734966407
128,5,V,0.984251433359511
128,5,PREP,0.9604600252841752
128,5,CUR,0.3732852708521077
128,5,NUM,0.7873649271412392
128,5,PREP+ART,0.9770081024679018
128,5,NPROP,0.8468747018928167
128,5,PU,0.999682254542026
128,5,PROADJ,0.9345506529973924
128,5,PRO-KS,0.8496929905330752
128,5,ADJ,0.841973515555655
128,5,KC,0.9697747379055257
128,5,ART,0.9725119281770848
128,5,KS,0.8446313176820924
128,5,PCP,0.9435928609794201
128,5,ADV,0.9095311096386335
128,5,PROPESS,0.973068483031931
128,5,PREP+PROADJ,0.5815560228296786
128,5,PDEN,0.7471344982910019
128,5,PROSUB,0.8920130657589354
128,5,PREP+PROPESS,0.28517072193852006
128,5,ADV-KS,0.3153432795968092
128,5,PREP+PRO-KS,0.14258536096926003
128,5,PREP+PROSUB,0.28517072193852006
128,5,IN,0.08026434364674076
128,5,PREP+ADV,0.08330830079102834
