batch_size,epochs,tag,precision
128,3,--padding--,1.0
128,3,N,0.924936091094125
128,3,V,0.9782994704389745
128,3,PREP,0.9631330682098289
128,3,CUR,0.3732852708521077
128,3,NUM,0.7993351854483713
128,3,PREP+ART,0.9811506350343089
128,3,NPROP,0.8592024021392538
128,3,PU,0.999603863245961
128,3,PROADJ,0.9542801275670971
128,3,PRO-KS,0.9026633157250014
128,3,ADJ,0.8185925716270092
128,3,KC,0.9838487665626673
128,3,ART,0.9740324023340371
128,3,KS,0.8193506094315829
128,3,PCP,0.9421060174718565
128,3,ADV,0.8751229676794956
128,3,PROPESS,0.9708489795426344
128,3,PREP+PROADJ,0.5844931744601315
128,3,PDEN,0.8033351293189084
128,3,PROSUB,0.8532767945204117
128,3,PREP+PROPESS,0.27555822569340144
128,3,ADV-KS,0.352191181869764
128,3,PREP+PRO-KS,0.13777911284670072
128,3,PREP+PROSUB,0.2899769700610794
128,3,IN,0.07282355951626002
128,3,PREP+ADV,0.09292079703614699
