batch_size,epochs,tag,precision
256,3,--padding--,1.0
256,3,N,0.9194458114071967
256,3,V,0.975844920783309
256,3,PREP,0.964967554808377
256,3,CUR,0.3732852708521077
256,3,NUM,0.7970364921523607
256,3,PREP+ART,0.9791063717444691
256,3,NPROP,0.8277522580234804
256,3,PU,0.9996645037391637
256,3,PROADJ,0.9558993841312211
256,3,PRO-KS,0.8917426470268696
256,3,ADJ,0.8268780431594378
256,3,KC,0.9721212189406971
256,3,ART,0.9709717760482925
256,3,KS,0.7835084740571228
256,3,PCP,0.9239825812951681
256,3,ADV,0.8939184042181058
256,3,PROPESS,0.9649651845329758
256,3,PREP+PROADJ,0.5844931744601315
256,3,PDEN,0.791740258006404
256,3,PROSUB,0.8409511537460219
256,3,PREP+PROPESS,0.2819665565234805
256,3,ADV-KS,0.3383064650712593
256,3,PREP+PRO-KS,0.13777911284670072
256,3,PREP+PROSUB,0.2702179500016688
256,3,IN,0.07500417209038417
256,3,PREP+ADV,0.0865124662060679
