batch_size,epochs,tag,accuracy
256,2,--padding--,0.991945981388709
256,2,N,0.991945981388709
256,2,V,0.991945981388709
256,2,PREP,0.991945981388709
256,2,CUR,0.991945981388709
256,2,NUM,0.991945981388709
256,2,PREP+ART,0.991945981388709
256,2,NPROP,0.991945981388709
256,2,PU,0.991945981388709
256,2,PROADJ,0.991945981388709
256,2,PRO-KS,0.991945981388709
256,2,ADJ,0.991945981388709
256,2,KC,0.991945981388709
256,2,ART,0.991945981388709
256,2,KS,0.991945981388709
256,2,PCP,0.991945981388709
256,2,ADV,0.991945981388709
256,2,PROPESS,0.991945981388709
256,2,PREP+PROADJ,0.991945981388709
256,2,PDEN,0.991945981388709
256,2,PROSUB,0.991945981388709
256,2,PREP+PROPESS,0.991945981388709
256,2,ADV-KS,0.991945981388709
256,2,PREP+PRO-KS,0.991945981388709
256,2,PREP+PROSUB,0.991945981388709
256,2,IN,0.991945981388709
256,2,PREP+ADV,0.991945981388709
