batch_size,epochs,tag,accuracy
128,5,--padding--,0.9957182240137992
128,5,N,0.9957182240137992
128,5,V,0.9957182240137992
128,5,PREP,0.9957182240137992
128,5,CUR,0.9957182240137992
128,5,NUM,0.9957182240137992
128,5,PREP+ART,0.9957182240137992
128,5,NPROP,0.9957182240137992
128,5,PU,0.9957182240137992
128,5,PROADJ,0.9957182240137992
128,5,PRO-KS,0.9957182240137992
128,5,ADJ,0.9957182240137992
128,5,KC,0.9957182240137992
128,5,ART,0.9957182240137992
128,5,KS,0.9957182240137992
128,5,PCP,0.9957182240137992
128,5,ADV,0.9957182240137992
128,5,PROPESS,0.9957182240137992
128,5,PREP+PROADJ,0.9957182240137992
128,5,PDEN,0.9957182240137992
128,5,PROSUB,0.9957182240137992
128,5,PREP+PROPESS,0.9957182240137992
128,5,ADV-KS,0.9957182240137992
128,5,PREP+PRO-KS,0.9957182240137992
128,5,PREP+PROSUB,0.9957182240137992
128,5,IN,0.9957182240137992
128,5,PREP+ADV,0.9957182240137992
