batch_size,epochs,tag,precision
256,1,--padding--,1.0
256,1,N,0.9561240812382017
256,1,V,0.9816511743301427
256,1,PREP,0.955811912194841
256,1,CUR,0.3732852708521077
256,1,NUM,0.8082615039830318
256,1,PREP+ART,0.9778285200164195
256,1,NPROP,0.6433686109323783
256,1,PU,0.9995575515025389
256,1,PROADJ,0.9550117351993564
256,1,PRO-KS,0.8437970157174783
256,1,ADJ,0.8464896757933387
256,1,KC,0.9806821823827072
256,1,ART,0.9699337714329317
256,1,KS,0.8440787616352079
256,1,PCP,0.9024752730229564
256,1,ADV,0.9136995765917828
256,1,PROPESS,0.9597072215147432
256,1,PREP+PROADJ,0.5780848436300524
256,1,PDEN,0.754021462222123
256,1,PROSUB,0.8273876563453015
256,1,PREP+PROPESS,0.2616735088948967
256,1,ADV-KS,0.33323320316411337
256,1,PREP+PRO-KS,0.13777911284670072
256,1,PREP+PROSUB,0.26477086879610157
256,1,IN,0.060879142885751476
256,1,PREP+ADV,0.0
