batch_size,epochs,tag,accuracy
64,1,--padding--,0.9937539769442216
64,1,N,0.9937539769442216
64,1,V,0.9937539769442216
64,1,PREP,0.9937539769442216
64,1,CUR,0.9937539769442216
64,1,NUM,0.9937539769442216
64,1,PREP+ART,0.9937539769442216
64,1,NPROP,0.9937539769442216
64,1,PU,0.9937539769442216
64,1,PROADJ,0.9937539769442216
64,1,PRO-KS,0.9937539769442216
64,1,ADJ,0.9937539769442216
64,1,KC,0.9937539769442216
64,1,ART,0.9937539769442216
64,1,KS,0.9937539769442216
64,1,PCP,0.9937539769442216
64,1,ADV,0.9937539769442216
64,1,PROPESS,0.9937539769442216
64,1,PREP+PROADJ,0.9937539769442216
64,1,PDEN,0.9937539769442216
64,1,PROSUB,0.9937539769442216
64,1,PREP+PROPESS,0.9937539769442216
64,1,ADV-KS,0.9937539769442216
64,1,PREP+PRO-KS,0.9937539769442216
64,1,PREP+PROSUB,0.9937539769442216
64,1,IN,0.9937539769442216
64,1,PREP+ADV,0.9937539769442216
