batch_size,epochs,tag,precision
64,2,--padding--,1.0
64,2,N,0.8929456217608455
64,2,V,0.9724018989263157
64,2,PREP,0.9438165698639539
64,2,CUR,0.3732852708521077
64,2,NUM,0.7880251386456851
64,2,PREP+ART,0.979045396796645
64,2,NPROP,0.7601407394281352
64,2,PU,0.9996001215125159
64,2,PROADJ,0.949931455762684
64,2,PRO-KS,0.82273673453446
64,2,ADJ,0.8853511442802244
64,2,KC,0.9802059019856317
64,2,ART,0.9627298914738756
64,2,KS,0.8431863891281879
64,2,PCP,0.8667132883423351
64,2,ADV,0.9118335409805065
64,2,PROPESS,0.9688486021884151
64,2,PREP+PROADJ,0.5799539401221588
64,2,PDEN,0.8037736436655032
64,2,PROSUB,0.8508912535346902
64,2,PREP+PROPESS,0.25312906778812455
64,2,ADV-KS,0.30679883849003703
64,2,PREP+PRO-KS,0.1249624511865425
64,2,PREP+PROSUB,0.2614064951103101
64,2,IN,0.012816661660158206
64,2,PREP+ADV,0.0
