batch_size,epochs,tag,precision
128,1,--padding--,1.0
128,1,N,0.9033970992158605
128,1,V,0.965600937544459
128,1,PREP,0.942991563793383
128,1,CUR,0.3732852708521077
128,1,NUM,0.8037795077782194
128,1,PREP+ART,0.9697628087105085
128,1,NPROP,0.7826328144173006
128,1,PU,0.9995071591144277
128,1,PROADJ,0.9503183580045363
128,1,PRO-KS,0.8285689671968615
128,1,ADJ,0.8808911850286241
128,1,KC,0.983399231037395
128,1,ART,0.9560728736827753
128,1,KS,0.8059728355355397
128,1,PCP,0.8285934742380323
128,1,ADV,0.8806018274064082
128,1,PROPESS,0.9581790897213892
128,1,PREP+PROADJ,0.573278595507493
128,1,PDEN,0.7876838446979629
128,1,PROSUB,0.8381139993035461
128,1,PREP+PROPESS,0.2515269850806048
128,1,ADV-KS,0.2480558058809786
128,1,PREP+PRO-KS,0.13457494743166115
128,1,PREP+PROSUB,0.24138046126631285
128,1,IN,0.035245819565435065
128,1,PREP+ADV,0.0
