batch_size,epochs,tag,precision
128,2,--padding--,1.0
128,2,N,0.9099831142179533
128,2,V,0.9733690835142785
128,2,PREP,0.94037550889178
128,2,CUR,0.3732852708521077
128,2,NUM,0.8081316245874135
128,2,PREP+ART,0.9756579195164432
128,2,NPROP,0.8675595173053644
128,2,PU,0.9995736408066065
128,2,PROADJ,0.9403939205779884
128,2,PRO-KS,0.8858784429996667
128,2,ADJ,0.8333584597832869
128,2,KC,0.9762621571898452
128,2,ART,0.9778054618096348
128,2,KS,0.8303518198814405
128,2,PCP,0.8450341142163865
128,2,ADV,0.9206105689074343
128,2,PROPESS,0.9745486130395926
128,2,PREP+PROADJ,0.5911685190747973
128,2,PDEN,0.7845608237317461
128,2,PROSUB,0.8418509066716446
128,2,PREP+PROPESS,0.2723540602783619
128,2,ADV-KS,0.3591335402690164
128,2,PREP+PRO-KS,0.13777911284670072
128,2,PREP+PROSUB,0.27555822569340144
128,2,IN,0.07369580454590968
128,2,PREP+ADV,0.06888955642335036
